Replicate,Day,Well_Num,Culture,Q1_Scer,Scer_Stained,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_Alive_Total_Alive,Per_Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Per_Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Per_Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Per_Scer_Dead_Total_Scer,Scer_Alive_Total_Scer,Per_Scer_Alive_Total_Scer,Hgui_Alive_Total_Hgui,Per_Hgui_Alive_Total_Hgui
1,7,E5,3852,193,4802,489,12269,12736,4313,30000,0.7470232858232154,74.70232858232154,0.2529767141767846,25.29767141767846,0.4906618676264747,49.06618676264747,0.09789789789789789,9.78978978978979,0.8634634634634635,86.34634634634635,0.5093381323735253,50.93381323735253
1,8,E5,3852,191,26177,295,1921,1711,25882,30000,0.06200848041169862,6.200848041169862,0.9379915195883014,93.79915195883014,0.5289096916299559,52.890969162995596,0.011187803398058253,1.1187803398058254,0.9815685679611651,98.15685679611651,0.47109030837004406,47.109030837004404
1,9,E5,3852,34,28212,140,933,821,28072,30000,0.028415187069532413,2.841518706953241,0.9715848129304676,97.15848129304676,0.5319270239452679,53.19270239452679,0.004956454011187425,0.4956454011187425,0.9938398357289527,99.38398357289527,0.468072976054732,46.8072976054732
1,6,F6,3920,50,29503,971,246,201,28532,30000,0.0069954407823756655,0.6995440782375666,0.9930045592176243,99.30045592176243,0.5503355704697986,55.033557046979865,0.03285622441038135,3.285622441038135,0.9654518999763138,96.54518999763138,0.44966442953020136,44.966442953020135
3,5,F6,3984,32,1610,214,25305,3053,1396,30000,0.6862216228365925,68.62216228365925,0.3137783771634075,31.37783771634075,0.892340785668947,89.23407856689471,0.13032886723507917,13.032886723507916,0.8501827040194885,85.01827040194885,0.10765921433105297,10.765921433105296
1,7,F6,3920,266,14550,2293,10518,4666,12257,30000,0.2757194350883413,27.571943508834128,0.7242805649116587,72.42805649116588,0.6927028451001054,69.27028451001054,0.15476511879049676,15.476511879049676,0.8272813174946004,82.72813174946005,0.3072971548998946,30.729715489989463
3,6,F6,3984,22,924,270,26503,2551,654,30000,0.7959438377535102,79.59438377535102,0.20405616224648987,20.405616224648988,0.9121979761822813,91.21979761822813,0.2854122621564482,28.541226215644823,0.6913319238900634,69.13319238900634,0.08780202381771873,8.780202381771874
1,8,F6,3920,193,27590,732,1677,540,26858,30000,0.0197094678443682,1.9709467844368203,0.9802905321556318,98.02905321556318,0.7564276048714479,75.64276048714478,0.026347046755210022,2.6347046755210024,0.966706259223266,96.67062592232661,0.2435723951285521,24.357239512855212
3,8,F6,3984,1643,21830,794,5665,862,21036,30000,0.03936432550917892,3.936432550917892,0.9606356744908211,96.06356744908211,0.8679332005515551,86.7933200551555,0.03382609807012312,3.382609807012312,0.8961785881651259,89.61785881651258,0.13206679944844493,13.206679944844494
3,7,F6,3984,269,5042,1018,22480,2209,4024,30000,0.35440397882239694,35.440397882239694,0.6455960211776031,64.5596021177603,0.9105269553242334,91.05269553242334,0.19167765016004518,19.167765016004516,0.7576727546601393,75.76727546601393,0.08947304467576654,8.947304467576654
1,9,F6,3920,266,26585,548,2187,962,26037,30000,0.03563094929441831,3.563094929441831,0.9643690507055817,96.43690507055817,0.6945061924420451,69.45061924420452,0.020408923317567315,2.0408923317567313,0.9696845555100368,96.96845555100369,0.3054938075579549,30.54938075579549
1,5,G3,3984,1330,969,885,7751,19950,84,30000,0.9958071278825996,99.58071278825996,0.0041928721174004195,0.41928721174004197,0.2798093931627017,27.98093931627017,0.38494997825141364,38.49499782514136,0.03653762505437146,3.6537625054371463,0.7201906068372983,72.01906068372983
1,6,G3,3984,93,5556,516,9949,14402,5040,30000,0.7407674107602099,74.076741076021,0.25923258923979015,25.923258923979013,0.408566383310747,40.8566383310747,0.09134360063728093,9.134360063728094,0.8921933085501859,89.21933085501858,0.591433616689253,59.1433616689253
1,7,G3,3984,203,3965,1016,12785,13047,2949,30000,0.8156414103525882,81.56414103525881,0.18435858964741186,18.435858964741186,0.494928770517188,49.4928770517188,0.2437619961612284,24.37619961612284,0.7075335892514395,70.75335892514396,0.505071229482812,50.5071229482812
1,8,G3,3984,1245,19204,721,4424,5127,18483,30000,0.21715374841168997,21.715374841168998,0.78284625158831,78.284625158831,0.46319757093498065,46.31975709349806,0.035258447845860436,3.5258447845860434,0.903858379382855,90.38583793828549,0.5368024290650194,53.68024290650194
1,9,G3,3984,2942,26405,165,224,429,26240,30000,0.016086092466909147,1.6086092466909148,0.9839139075330908,98.39139075330908,0.3430321592649311,34.30321592649311,0.00562238048182097,0.562238048182097,0.89412887177565,89.412887177565,0.6569678407350689,65.69678407350689
2,5,H2,3984,85,1060,318,26131,2724,742,30000,0.7859203693017888,78.59203693017888,0.2140796306982112,21.407963069821122,0.9055969502685843,90.55969502685844,0.2777292576419214,27.77292576419214,0.6480349344978166,64.80349344978166,0.0944030497314157,9.44030497314157
2,6,H2,3984,861,6123,753,19883,3133,5370,30000,0.3684581912266259,36.84581912266259,0.6315418087733741,63.15418087733741,0.8638773027459159,86.38773027459159,0.10781786941580757,10.781786941580757,0.7689003436426117,76.89003436426117,0.1361226972540841,13.61226972540841
3,5,H2,3852,43,10753,1554,8081,11123,9199,30000,0.5473378604468064,54.73378604468064,0.45266213955319357,45.26621395531936,0.42079775046865237,42.07977504686524,0.14394220081511672,14.394220081511671,0.8520748425342719,85.2074842534272,0.5792022495313477,57.92022495313477
2,7,H2,3984,1269,5901,783,20044,2786,5118,30000,0.3524797570850202,35.247975708502025,0.6475202429149798,64.75202429149797,0.8779675865089794,87.79675865089794,0.10920502092050209,10.920502092050208,0.7138075313807531,71.38075313807532,0.12203241349102059,12.20324134910206
3,6,H2,3852,53,4229,674,7490,18228,3555,30000,0.8367993389340311,83.67993389340312,0.16320066106596887,16.320066106596887,0.29123571039738705,29.123571039738707,0.15740308267164876,15.740308267164876,0.8302195235871088,83.02195235871088,0.708764289602613,70.8764289602613
2,9,H2,3984,4421,13076,1324,10879,1624,11752,30000,0.12141148325358851,12.14114832535885,0.8785885167464115,87.85885167464114,0.8701111733184036,87.01111733184035,0.07567011487683603,7.567011487683603,0.671657998514031,67.1657998514031,0.1298888266815964,12.98888266815964
3,8,H2,3852,255,22889,576,2885,3971,22313,30000,0.15108050525034242,15.108050525034242,0.8489194947496576,84.89194947496576,0.4207992998833139,42.079929988331386,0.02488765986864846,2.488765986864846,0.9640943657103352,96.40943657103352,0.5792007001166861,57.920070011668614
2,8,H2,3984,4645,15410,1204,8500,1445,14206,30000,0.0923263689221136,9.23263689221136,0.9076736310778863,90.76736310778864,0.8547008547008547,85.47008547008546,0.0600349040139616,6.00349040139616,0.7083520319122414,70.83520319122414,0.1452991452991453,14.529914529914532
3,7,H2,3852,148,11870,588,6770,11212,11282,30000,0.49844402951898287,49.84440295189829,0.5015559704810172,50.15559704810172,0.37648759870982096,37.6487598709821,0.04892661008487269,4.892661008487269,0.9387585288733566,93.87585288733567,0.623512401290179,62.3512401290179
2,5,H4,3852,104,2916,408,7783,19197,2508,30000,0.8844505874222529,88.44505874222529,0.11554941257774706,11.554941257774706,0.288472942920682,28.8472942920682,0.13509933774834437,13.509933774834437,0.8304635761589404,83.04635761589404,0.711527057079318,71.1527057079318
2,6,H4,3852,170,15714,801,4814,9302,14913,30000,0.38414206070617385,38.41420607061738,0.6158579392938262,61.58579392938262,0.3410314536695948,34.10314536695948,0.050428103752203475,5.0428103752203475,0.9388693024427096,93.88693024427096,0.6589685463304052,65.89685463304052
2,7,H4,3852,239,17510,660,4329,7922,16850,30000,0.31979654448570966,31.979654448570965,0.6802034555142903,68.02034555142903,0.3533589094767774,35.33589094767774,0.037185193532029974,3.718519353202997,0.9493492591131895,94.93492591131894,0.6466410905232226,64.66410905232226
2,9,H4,3852,248,23085,489,2598,4069,22596,30000,0.15259703731483218,15.259703731483217,0.8474029626851678,84.74029626851677,0.3896805159742013,38.96805159742013,0.02095744224917499,2.095744224917499,0.9684138344833497,96.84138344833497,0.6103194840257987,61.03194840257987
2,8,H4,3852,173,25465,477,1727,2635,24988,30000,0.09539152155812186,9.539152155812186,0.9046084784418782,90.46084784418782,0.3959193030719853,39.59193030719853,0.01860519541305874,1.8605195413058742,0.9746470083469849,97.46470083469849,0.6040806969280147,60.40806969280147
